id,title,director,year,country,image,synopsis
356,TAN DE REPENTE - TOUT A COUP,Diego Lerman , 2002,Pays-Bas,https://images.mubicdn.net/images/film/37588/cache-27969-1556703669/image-w1280.jpg?size=400x,"Marcia est une jeune et naive employee dont la vie bascule le jour ou elle rencontre deux inconnues rebelles : Mao et Lenin. Sous l'impulsion de Mao, les deux filles kidnappent Marcia sous la menace d'un couteau et l'entrainent dans un voyage frenetique d'amitie, d'amour et de decouverte de soi."
357,THE HOURS,Stephen Daldry , 2002,Royaume-Uni,https://images.mubicdn.net/images/film/3652/cache-10286-1612435060/image-w1280.jpg?size=400x,"The Hours raconte une journee cruciale des vies respectives de trois femmes de differentes epoques, dont les destins sont interconnectes par le roman de Virginia Woolf, Mrs Dalloway."
358,MA MERE PREFERE LES FEMMES (SURTOUT LES JEUNES...),"Ines Paris, Daniela Fejerman ", 2002,Espagne,https://images.mubicdn.net/images/film/58766/cache-46103-1713193250/image-w1280.jpg?size=400x,"In this knockabout Spanish comedy, Sofia gets married, builds a successful career as a pianist and is a loving mom to her children, then one day, she wakes up and realizes she's a lesbian."
359,CHOSES SECRETES,Jean-Claude Brisseau , 2002,France,https://images.mubicdn.net/images/film/24193/cache-16082-1445869689/image-w1280.jpg?size=400x,Two young women enjoy themselves playing games in love and with their fate. Their aim: to conquer men--until the day breaks when their limited experience turns against them.
360,CLARA CET ETE LA,Patrick Grandperret , 2002,France,https://images.mubicdn.net/images/film/61468/cache-38783-1445902395/image-w1280.jpg?size=400x,"Clara and Zoe are excited to be off to summer camp for a week of adventure. Zo quickly hooks up with Sebastien and then is devastated to find he's dating her just to impress his friends. Flighty Zoe then turns to Clara, telling her she loves her."
361,THE ODDS OF RECOVERY,Su Friedrich , 2002,Etats-Unis,https://images.mubicdn.net/images/film/172197/cache-222622-1494323457/image-w1280.jpg?size=400x,"After a twenty year period of multiple illnesses and injuries, the filmmaker turns the camera on herself as a way to analyze her chances for a happier, healthier life."
362,SUGAR SWEET,Desiree Lim , 2002,Japon,https://images.mubicdn.net/images/film/53333/cache-949791-1709781544/image-w1280.jpg?size=400x,"Tired of being labeled a sellout by her friends, and hearing complaints about the quality of her work, lesbian porn film director Naomi tries her hand at a female dating show, unaware she's opened the door to pure chaos."
363,LA REPETITION,Catherine Corsini , 2001,France,https://images.mubicdn.net/images/film/21838/cache-14390-1481148624/image-w1280.jpg?size=400x,"Louise et Nathalie ont une trentaine d'annees. Elles se retrouvent apres une separation de plus de 10 ans. Louise est prothesiste dentaire. Nathalie est devenue comedienne de theatre, ce qu'elles revaient d'etre un jour toutes les deux. Louise ne laisse pas de repit a Nathalie..."
364,QUE FAISAIENT LES FEMMES PENDANT QUE L'HOMME MARCHAIT SUR LA LUNE?,Chris Vander Stappen , 2000,Suisse,https://images.mubicdn.net/images/film/67591/cache-43796-1445909002/image-w1280.jpg?size=400x,"Allowing her parents to believe that she's attending medical school in Montreal, Sacha (Marie Bunel) is actually spending her time in the arms of another woman, who insists that she come clean with her family. Are Sacha's coming-out fears well-founded, or will honesty be easier than she thought?"
365,TREADING WATER,Lauren Himmel , 2001,Etats-Unis,https://images.mubicdn.net/images/film/55029/cache-152981-1465915516/image-w1280.jpg?size=400x,"Casey has turned away from her family to work as a longshorewoman and live with her social-worker girlfriend, Alex, but when Casey visits home at Christmas, she finds that her family's ways have not changed."
366,MULHOLLAND DRIVE,David Lynch , 2001,Etats-Unis,https://images.mubicdn.net/images/film/187/cache-51170-1552467202/image-w1280.jpg?size=400x,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project."
367,KARMEN,Joseph Gai Ramaka , 2001,Senegal,https://images.mubicdn.net/images/film/40538/cache-41138-1445905597/image-w1280.jpg?size=400x,"Re-working of the Carmen story, with a black Karmen Gei playing out her tragedy amidst the magical and chaotic urbanity of Senegal's capital city. Seducting, provocating, sensual - all the ingredients for a perfect drama. With her charm, Karmen gets out of many situations."
368,STRANGER INSIDE,Cheryl Dunye , 2001,Etats-Unis,https://images.mubicdn.net/images/film/34387/cache-25488-1445882194/image-w1280.jpg?size=400x,A mother daughter reunion set in the harsh reality of a women's correctional facility.
369,LA TENTATION DE JESSICA,Charles Herman-Wurmfeld , 2001,Etats-Unis,https://images.mubicdn.net/images/film/7747/cache-113559-1445965749/image-w1280.jpg?size=400x,"A 2001 American independent romantic comedy film, written and co-produced by the film's stars, Jennifer Westfeldt and Heather Juergensen. The film also stars Tovah Feldshuh and is directed by Charles Herman-Wurmfeld. The movie is based on a scene from the 1997 off-Broadway p."
370,DES PARENTS PAS COMME LES AUTRES,Laurence Katrian , 2001,France,https://images.mubicdn.net/images/film/77631/cache-162820-1470823074/image-w1280.jpg?size=400x,"The product of a gay dad and a lesbian mom, Olympe had an unconventional upbringing. But it didn't pose a problem until one of her classmates started spreading gossip about her family, turning her high school years into sheer hell."
371,LOST AND DELIRIOUS,Lea Pool , 2001,Canada,https://images.mubicdn.net/images/film/14789/cache-91845-1445947690/image-w1280.jpg?size=400x,"Mouse Bradford vient tout juste d'arriver au college de jeunes filles Prekins. Elle a laisse derriere elle la petite ville qui l'a vue grandir, son pere et sa belle-mere. Mouse est vite adoptee par ses deux compagnes de chambre plus agees, la petillante Paulie a l'esprit vif et la belle Tory."
372,UN AMOUR DE FEMME,Sylvie Verheyde , 2001,France,https://images.mubicdn.net/images/film/58207/cache-70384-1617835912/image-w1280.jpg?size=400x,"Jeanne, a beautiful wife and mother, feels herself slipping further into loneliness and isolation every day. Her mainstream existence is crushing her, and her relationship with her husband becomes distant and strained."
373,FORBIDDEN FRUIT,Sue Maluwa-Bruce , 2001,Allemagne,https://images.mubicdn.net/images/film/203811/cache-331034-1523927116/image-w1280.jpg?size=400x,Two women from a village in Zimbabwe are in love with each other although one is married.
374,JULIE JOHNSON,Bob Gosse , 2001,Etats-Unis,https://images.mubicdn.net/images/film/24310/cache-51156-1445920655/image-w1280.jpg?size=400x,"A woman named Julie Johnson, played by Lili Taylor, attempts to realize the dreams she never knew she had by re-enrolling in school."
375,GAUDI AFTERNOON,Susan Seidelman , 2001,Espagne,https://images.mubicdn.net/images/film/52710/cache-40154-1709410267/image-w1280.jpg?size=400x,Barcelona hasn't turned out to be the romantic dreamland fledgling translator Cassandra thought it would be. She's about to return to America when the mysterious Frankie offers her a large sum of money to track down Frankie's missing lover.
376,101 REYKJAVIK,Baltasar Kormakur , 2000,Islande,https://images.mubicdn.net/images/film/1140/cache-8627-1498644061/image-w1280.jpg?size=400x,"Hlynur, trentenaire au chomage vit toujours chez sa mere et passe sa vie a boire, sortir et multiplier les conquetes. Hormis tout cela, il n'a aucun but dans la vie. Jusqu'au jour ou Lola, une amie de sa mere, arrive pour les fetes de fin d'annee."
377,JOHNNY GREYEYES,Jorge Manzano , 2000,Canada,https://images.mubicdn.net/images/film/52297/cache-234124-1498558231/image-w1280.jpg?size=400x,"Imprisoned since the shooting death of her father, Johnny forms a new family and falls in love with her cellmate Lana, and struggles to repair her fractured natural family from within prison walls."
378,100 GIRLS,Michael Davis , 2000,Etats-Unis,https://images.mubicdn.net/images/film/54651/cache-45720-1582887455/image-w1280.jpg?size=400x,"This refreshing teen comedy from director Michael Davis centers on college freshman Matthew, who finds love in a dorm elevator during a power failure -- only to miss her name, leaving him to sort through 100 ladies to locate the mystery woman."
379,AMOURS MORTELLES,Damian Harris , 2000,Etats-Unis,https://images.mubicdn.net/images/film/101031/cache-66383-1554195620/image-w1280.jpg?size=400x,Detective Catherine Palmer investigates a series of sexually gruesome serial murders and becomes embroiled in a world of lesbianism and bondage after she becomes obsessed with one of the victims' paramours.
380,IF THESE WALLS COULD TALK 2,Jane Anderson & 2 de plus, 2000,Etats-Unis,https://images.mubicdn.net/images/film/28013/cache-19254-1547383295/image-w1280.jpg?size=400x,"Semi-follow up of the first If These Walls Could Talk with three segments set in the same house, but with different occupants which spans nearly 40 years. While the first film delt with women and the topic of abortion, this deals with women and the topic of lesbianism."
381,CIRCLE INTIME,Samantha Lang , 2000,Australie,https://images.mubicdn.net/images/film/92786/cache-46384-1633511253/image-w1280.jpg?size=400x,"When a poetry student named Mickey disappears in Sydney, Australia, her hire Jill, a lesbian private investigator, to find her. The case plunges Jill deep into Sydney's poetry scene, where she meets and falls for Diana, a poetry lecturer who also happens to be one of Jill's suspects."
382,THE TRUTH ABOUT JANE,Lee Rose , 2000,Etats-Unis,https://images.mubicdn.net/images/film/28552/cache-19707-1445874296/image-w1280.jpg?size=400x,"Jane, a teenager, tries to deal with the realization that she is a lesbian after an intense friendship with another girl leads to her first sexual experience. Jane's mother, Janice, struggles with the revelation of her only daughter's sexuality."
383,THE GIRL,Sande Zeig , 2000,France,https://images.mubicdn.net/images/film/92076/cache-45671-1547876066/image-w1280.jpg?size=400x,"A torrid affair between two women, a struggling artist and a flame-haired blues singer, upsets a man who has a thing for the girl."
384,LOVE/JUICE,Kaze Shindo , 2000,Japon,https://images.mubicdn.net/images/film/45684/cache-35902-1445898000/image-w1280.jpg?size=400x,"A sympathetic portrayal of an adolescent high school student's emerging homosexual feelings for his best friend, Kaze Shindo's feature debut Love/Juice is a fresh-faced take on the conflicts between friendship and sexual desire."
385,BUT I'M A CHEERLEADER,Jamie Babbit , 1999,Etats-Unis,https://images.mubicdn.net/images/film/25441/cache-17105-1616515651/image-w1280.jpg?size=400x,"Megan est une lyceenne typiquement americaine qui aime le cheerleading et sort avec un footballeur. Sa paisible existence est bouleversee lorsque sa famille, la soupconnant d'etre lesbienne, l'envoie dans un << camp therapeutique >> ou elle remettra en question sa sexualite pour la premiere fois."
386,TWO BRIDES AND A SCALPEL: DIARY OF A LESBIAN MARRIAGE,Mark Achbar , 1999,Canada,https://images.mubicdn.net/images/film/30210/cache-21160-1445876192/image-w1280.jpg?size=400x,"The true story of ""boy meets girl, boy marries girl, boy becomes girl""."
387,MEMENTO MORI,"Min Kyu-dong, Kim Tae-yong ", 1999,Coree du Sud,https://images.mubicdn.net/images/film/5676/cache-10998-1481130938/image-w1280.jpg?size=400x,Deux collegiennes coreennes tiennent un journal intime bien particulier. Leur amitie amoureuse va provoquer des horreurs au sein meme de l'etablissement. Des meurtres vont etre commis.
388,EMPORTE-MOI,Lea Pool , 1999,Canada,https://images.mubicdn.net/images/film/36347/cache-26179-1445883116/image-w1280.jpg?size=400x,"Hanna a 13 ans et l'annee 1963 sera celle ou tout se decide. Entre un pere juif apatride, une mere catholique, un frere aine tendre et complice, une amie douce et differente et son professeur d'ecole a la troublante ressemblance avec Nana, Hanna s'eveille au monde."
389,HIGH ART,Lisa Cholodenko , 1998,Etats-Unis,https://images.mubicdn.net/images/film/11679/cache-11868-1481134909/image-w1280.jpg?size=400x,"A young female intern at a small magazine company becomes involved with a drug-addicted lesbian photographer, both of whom seek to exploit each other for their respective careers, while slowly falling in love with each other."
390,MEILLEUR QUE LE CHOCOLA,Anne Wheeler , 1999,Canada,https://images.mubicdn.net/images/film/36777/cache-26602-1445883715/image-w1280.jpg?size=400x,"Deux jeunes et seduisantes lesbiennes, Maggie et Kim, font connaissance a Vancouver, developpent un amour passionne et emmenagent ensemble. cependant, la mere de Maggie, Lila, adorable mais naive, divorce et demenage a Vancouver et rejoins la maison."
391,AIMEE & JAGUAR,Max Farberbock , 1999,Allemagne,https://images.mubicdn.net/images/film/13906/cache-12172-1697230644/image-w1280.jpg?size=400x,"In 1943, while the Allies are bombing Berlin and the Gestapo is purging the capital of Jews, a dangerous love affair blossoms between two women (Juliane Kohler, Maria Schrader)."
392,CHUTNEY POPCORN,Nisha Ganatra , 1999,Etats-Unis,https://images.mubicdn.net/images/film/50314/cache-45030-1572954470/image-w1280.jpg?size=400x,"When Reena learns that married sister Sarita can't have a baby, she decides to play surrogate mother, but Reena's girlfriend worries that three might be a crowd."
